Peak #	Sample	Area S1	Name	1st Dimension Time (min)	2nd Dimension Time (s)	Classifications	Similarity	IntegrationBegin	IntegrationEnd	Quant Masses	Area	Height S1	Base Mass	Quant S/N
1	A4	20.38	Peak	1.28	0			76.000, 111	77.800, 111	S(1)		1.31		66
2	A4	15.77	Peak	1.30333	0			77.800, 111	80.500, 111	S(1)		0.85		43
3	A4	28.65	Peak	1.36333	0			80.500, 111	83.300, 111	S(1)		2.16		108
4	A4	3.44	Peak	1.4	0			83.300, 111	84.900, 111	S(1)		0.36		18
5	A4	107.03	Peak	1.445	0			84.900, 111	88.600, 112	S(1)		8.96		450
6	A4	620.64	Peak	1.5	0			88.600, 112	90.800, 112	S(1)		69.73		3503
7	A4	2045454.93	Peak	1.525	0			90.800, 112	98.600, 113	S(1)		107530.94		5401624
8	A4	1891.93	Peak	1.66	0			98.600, 112	101.300, 112	S(1)		135.01		6782
9	A4	7309.53	Peak	1.72167	0			101.300, 112	105.900, 112	S(1)		379.36		19057
10	A4	843441.47	Peak	1.82667	0			105.900, 112	117.800, 113	S(1)		46465.44		2334108
11	A4	8566.03	Peak	1.99667	0			117.800, 112	122.900, 113	S(1)		631.51		31723
12	A4	40.1	Peak	2.05667	0			122.900, 118	128.200, 116	S(1)		2.42		122
13	A4	36.55	Peak	2.29333	0			135.800, 115	141.400, 114	S(1)		1.77		89
14	A4	37.42	Peak	2.38667	0			141.400, 114	145.100, 114	S(1)		2.56		129
15	A4	19605.35	Peak	2.46167	0			145.100, 114	156.400, 114	S(1)		1348.65		67747
16	A4	5491.81	Peak	2.76	0			158.400, 114	166.400, 113	S(1)		132.06		6634
17	A4	2384.87	Peak	2.80667	0			166.400, 113	171.200, 113	S(1)		101.86		5117
18	A4	77.32	Peak	2.865	0			171.200, 113	175.900, 113	S(1)		2.99		150
19	A4	48.13	Peak	6.53667	0			388.900, 112	393.400, 112	S(1)		3.61		182
20	A4	28.18	Peak	6.57333	0			393.400, 112	396.900, 112	S(1)		2		100
21	A4	8.77	Peak	6.64	0			396.900, 112	399.900, 112	S(1)		0.57		29
22	A4	13.1	Peak	6.74833	0			403.300, 112	406.700, 112	S(1)		0.91		46
23	A4	4.25	Peak	8.365	0			500.600, 112	503.300, 112	S(1)		0.27		14
23	A4	4.25	Peak	8.365	0			500.600, 112	503.300, 112	S(1)		0.27		14
24	A4	2.1	Peak	8.68833	0			520.000, 112	522.800, 112	S(1)		0.14		7
25	A4	3	Peak	9.465	0			566.700, 112	569.500, 112	S(1)		0.19		10
26	A4	27.02	Peak	9.58667	0			573.400, 112	578.700, 112	S(1)		1.61		81
27	A4	1.14	Peak	9.63167	0			577.700, 112	578.700, 112	S(1)		0.12		6
28	A4	0.8	Peak	9.65	0			578.700, 112	579.400, 112	S(1)		0.12		6
29	A4	3.02	Peak	9.70167	0			580.800, 112	583.700, 112	S(1)		0.16		8
30	A4	4.32	Peak	10.1133	0			605.000, 112	608.300, 112	S(1)		0.24		12
31	A4	1.06	Peak	10.4133	0			623.900, 112	625.100, 112	S(1)		0.13		6
32	A4	0.61	Peak	10.7867	0			646.600, 112	647.400, 112	S(1)		0.11		5
33	A4	3.83	Peak	10.98	0			656.800, 112	661.000, 112	S(1)		0.19		10
34	A4	1.59	Peak	11.0783	0			663.500, 112	665.600, 112	S(1)		0.1		5
35	A4	6.65	Peak	11.1783	0			667.800, 112	674.100, 112	S(1)		0.27		14
36	A4	0.82	Peak	11.285	0			676.300, 112	677.500, 112	S(1)		0.11		5
37	A4	737.67	Peak	11.5033	0			687.900, 112	702.000, 112	S(1)		44.27		2224
38	A4	9.94	Peak	11.615	0			696.600, 112	697.600, 112	S(1)		0.97		49
39	A4	4.66	Peak	11.6717	0			700.000, 112	700.700, 112	S(1)		0.62		31
40	A4	2.25	Peak	11.8183	0			707.800, 112	710.700, 112	S(1)		0.14		7
41	A4	5.62	Peak	12.0683	0			722.300, 112	726.000, 112	S(1)		0.37		19
42	A4	0.78	Peak	12.4483	0			746.400, 112	747.200, 112	S(1)		0.11		6
43	A4	3.09	Peak	19.3467	0			1160.500, 112	1162.100, 112	S(1)		0.24		12
44	A4	1.15	Peak	19.3717	0			1162.100, 112	1163.200, 112	S(1)		0.11		6
45	A4	1.49	Peak	19.8233	0			1188.500, 112	1189.900, 112	S(1)		0.14		7
46	A4	1.62	Peak	20.5767	0			1233.600, 112	1235.500, 112	S(1)		0.12		6
47	A4	10.84	Peak	21.05	0			1260.700, 112	1265.900, 112	S(1)		0.48		24
48	A4	0.61	Peak	21.18	0			1270.600, 112	1271.200, 112	S(1)		0.1		5
49	A4	190.38	Peak	21.23	0			1271.200, 112	1280.800, 112	S(1)		11.17		561
50	A4	2.26	Peak	21.3567	0			1280.800, 112	1281.900, 112	S(1)		0.21		10
51	A4	2.26	Peak	21.3567	0			1280.800, 112	1281.900, 112	S(1)		0.21		10
52	A4	0.89	Peak	21.37	0			1281.900, 112	1282.400, 112	S(1)		0.16		8
53	A4	0.74	Peak	21.3767	0			1282.400, 112	1282.900, 112	S(1)		0.13		6
54	A4	1.89	Peak	21.97	0			1316.900, 112	1319.900, 112	S(1)		0.11		5
55	A4	2.11	Peak	22.1283	0			1325.700, 112	1328.900, 112	S(1)		0.13		6
56	A4	2.6	Peak	22.2233	0			1332.100, 112	1334.900, 112	S(1)		0.15		8
57	A4	1.72	Peak	22.385	0			1341.800, 112	1344.000, 112	S(1)		0.11		6
58	A4	1.26	Peak	22.4133	0			1344.000, 112	1345.500, 112	S(1)		0.1		5
59	A4	1.12	Peak	22.4383	0			1345.500, 112	1346.600, 112	S(1)		0.11		5
60	A4	0.65	Peak	22.45	0			1346.600, 112	1347.200, 112	S(1)		0.11		6
61	A4	218.31	Peak	22.725	0			1358.100, 112	1364.700, 112	S(1)		12.8		643
62	A4	372.24	Peak	22.765	0			1364.700, 112	1376.200, 112	S(1)		14.31		719
63	A4	67.21	Peak	22.82	0			1369.100, 112	1374.000, 112	S(1)		2.25		113
64	A4	3.55	Peak	22.93	0			1375.600, 112	1376.200, 112	S(1)		0.52		26
65	A4	107.06	Peak	22.9833	0			1376.200, 112	1382.800, 112	S(1)		3.88		195
66	A4	23.64	Peak	23.0617	0			1382.800, 112	1386.100, 112	S(1)		0.84		42
67	A4	1.97	Peak	23.075	0			1384.400, 113	1385.400, 113	S(1)		0.22		11
68	A4	4.82	Peak	23.71	0			1420.400, 112	1424.300, 112	S(1)		0.25		13
69	A4	5.68	Peak	24.135	0			1446.100, 112	1450.000, 112	S(1)		0.31		16
70	A4	1.57	Peak	24.2733	0			1455.100, 112	1457.000, 112	S(1)		0.12		6
71	A4	2.36	Peak	24.41	0			1463.200, 112	1465.600, 112	S(1)		0.14		7
72	A4	0.81	Peak	24.4183	0			1464.900, 112	1465.600, 112	S(1)		0.14		7
73	A4	4.78	Peak	24.5717	0			1469.700, 112	1474.600, 112	S(1)		0.19		10
74	A4	3.7	Peak	24.5883	0			1474.600, 112	1476.400, 112	S(1)		0.22		11
75	A4	3.7	Peak	24.5883	0			1474.600, 112	1476.400, 112	S(1)		0.22		11
76	A4	1.74	Peak	24.595	0			1475.500, 112	1476.400, 112	S(1)		0.2		10
77	A4	1.5	Peak	24.6133	0			1476.400, 112	1477.400, 112	S(1)		0.15		8
78	A4	1.23	Peak	24.6317	0			1477.400, 112	1478.300, 112	S(1)		0.14		7
79	A4	1.98	Peak	24.655	0			1478.600, 112	1480.200, 112	S(1)		0.15		8
80	A4	1.96	Peak	25.51	0			1529.300, 113	1531.400, 113	S(1)		0.16		8
81	A4	3.67	Peak	25.7333	0			1542.000, 113	1545.300, 113	S(1)		0.22		11
82	A4	3.67	Peak	25.7333	0			1542.000, 113	1545.300, 113	S(1)		0.22		11
83	A4	10.19	Peak	25.8233	0			1547.600, 113	1550.800, 113	S(1)		0.45		23
84	A4	4.49	Peak	26.5467	0			1590.800, 113	1594.500, 113	S(1)		0.19		10
85	A4	9.67	Peak	27.04	0			1620.300, 113	1624.800, 113	S(1)		0.36		18
86	A4	4.07	Peak	27.05	0			1622.700, 113	1624.200, 113	S(1)		0.36		18
