Peak #	Sample	Area S1	Name	1st Dimension Time (min)	2nd Dimension Time (s)	Classifications	Similarity	IntegrationBegin	IntegrationEnd	Quant Masses	Area	Height S1	Base Mass	Quant S/N
1	A3	33.24	Compound A	1.36667	0			80.700, 115	83.600, 115	S(1)		2.21		104
2	A3	6.53	Peak	1.405	0			83.600, 115	85.600, 115	S(1)		0.53		25
3	A3	123.62	Compound B	1.45	0			85.600, 115	89.000, 115	S(1)		9.3		437
4	A3	815.45	Peak 7	1.505	0			89.000, 115	91.100, 115	S(1)		80.11		3763
5	A3	2979382.38	Peak 8	1.53667	0			91.100, 115	99.600, 116	S(1)		125400.95		5890814
6	A3	2934.05	Peak 9	1.67667	0			99.600, 116	101.900, 116	S(1)		192.55		9045
7	A3	17036.83	Peak 10	1.73667	0			101.900, 115	106.500, 116	S(1)		607.63		28544
8	A3	2052243.92	Peak 11	1.86167	0			106.500, 116	118.800, 116	S(1)		77440.71		3637842
9	A3	19818.71	Peak	2.01	0			118.800, 132	125.700, 125	S(1)		1576.27		74046
10	A3	82.75	Peak 13	2.30667	0			136.300, 120	142.000, 119	S(1)		4.06		191
11	A3	91.04	Peak 14	2.39833	0			142.100, 119	146.000, 119	S(1)		5.77		271
12	A3	62476.64	Peak 15	2.49	0			146.000, 119	156.600, 118	S(1)		3895.92		183014
13	A3	9.28	Peak 17	2.57	0			153.700, 118	156.600, 118	S(1)		0.64		30
14	A3	5296.36	Peak 21	2.76	0			158.900, 115	168.400, 115	S(1)		123.53		5803
15	A3	1.98	Peak 52	6.47833	0			388.200, 116	389.300, 116	S(1)		0.2		9
16	A3	1.5	Peak 53	6.5	0			389.600, 116	390.400, 116	S(1)		0.19		9
17	A3	70.21	Compound C	6.53667	0			390.400, 116	393.400, 116	S(1)		5.2		244
18	A3	41.61	Compound D	6.57333	0			393.400, 116	396.100, 116	S(1)		2.98		140
19	A3	34.35	Peak	6.64	0			396.100, 116	401.800, 116	S(1)		1.93		91
20	A3	14.96	peak 	6.745	0			403.100, 116	407.200, 116	S(1)		1.09		51
21	A3	2.31	peak 	6.81833	0			408.200, 116	409.400, 116	S(1)		0.22		10
22	A3	2.76	Peak 76	8.31667	0			497.300, 115	499.500, 115	S(1)		0.15		7
23	A3	0.6	Peak 77	8.34	0			500.100, 115	500.600, 115	S(1)		0.12		5
24	A3	1.2	Peak 78	8.35667	0			501.200, 115	502.500, 115	S(1)		0.13		6
25	A3	6.71	peak 	8.43667	0			504.900, 115	507.700, 115	S(1)		0.45		21
26	A3	6.71	peak 	8.43667	0			504.900, 115	507.700, 115	S(1)		0.45		21
27	A3	0.7	Peak 80	8.46667	0			507.700, 115	508.400, 115	S(1)		0.11		5
28	A3	3.28	peak 	8.73667	0			523.400, 115	525.300, 115	S(1)		0.22		10
29	A3	1.01	Peak 98	10.4517	0			626.900, 115	627.500, 115	S(1)		0.17		8
30	A3	1.49	Peak 99	10.465	0			627.500, 115	628.800, 115	S(1)		0.13		6
31	A3	2.37	Peak 100	10.4983	0			628.800, 115	630.800, 115	S(1)		0.13		6
32	A3	5.06	Peak 101	10.54	0			630.800, 115	634.400, 115	S(1)		0.18		9
33	A3	0.56	Peak 102	10.5667	0			633.900, 115	634.400, 115	S(1)		0.11		5
34	A3	2.12	Peak 103	10.5917	0			634.400, 115	636.900, 115	S(1)		0.13		6
35	A3	1.75	Peak 104	10.775	0			644.900, 115	647.100, 115	S(1)		0.14		6
36	A3	1.17	Peak 105	10.7967	0			647.100, 115	648.100, 115	S(1)		0.15		7
37	A3	1.22	Peak 106	10.8083	0			648.100, 115	649.000, 115	S(1)		0.14		7
38	A3	1.73	Peak 107	10.8483	0			650.000, 115	651.600, 115	S(1)		0.12		6
39	A3	64.44	Compound E	11.0017	0			658.200, 115	662.400, 115	S(1)		5.07		238
40	A3	2.69	Peak 109	11.05	0			662.400, 115	664.600, 115	S(1)		0.17		8
41	A3	16.17	peak 	11.1567	0			667.100, 115	671.900, 115	S(1)		1.06		50
42	A3	2.83	Peak 111	11.2683	0			674.800, 115	677.300, 114	S(1)		0.22		10
43	A3	2.37	peak 	11.4983	0			688.800, 114	690.700, 114	S(1)		0.15		7
44	A3	0.86	peak 	11.5167	0			690.700, 114	691.500, 114	S(1)		0.11		5
45	A3	4.85	peak 	11.725	0			701.700, 114	704.900, 114	S(1)		0.31		15
46	A3	4.85	peak 	11.725	0			701.700, 114	704.900, 114	S(1)		0.31		15
47	A3	6.18	peak 	11.795	0			705.800, 114	709.800, 114	S(1)		0.45		21
48	A3	0.86	Peak 116	11.9417	0			716.100, 114	716.900, 114	S(1)		0.12		6
49	A3	1.92	Peak 117	12.0033	0			718.400, 114	721.100, 114	S(1)		0.12		6
50	A3	4.69	Peak 118	12.0517	0			721.700, 114	725.200, 114	S(1)		0.33		15
51	A3	428.92	Compound F	12.42	0			743.000, 114	750.900, 114	S(1)		32.1		1508
52	A3	428.92	Compound F	12.42	0			743.000, 114	750.900, 114	S(1)		32.1		1508
53	A3	2.56	peak 	12.5083	0			750.200, 114	750.900, 114	S(1)		0.34		16
54	A3	12.73	peak 	19.2017	0			1150.100, 115	1154.600, 115	S(1)		0.7		33
55	A3	12.73	peak 	19.2017	0			1150.100, 115	1154.600, 115	S(1)		0.7		33
56	A3	25.26	Compound G	19.3033	0			1155.900, 115	1162.900, 115	S(1)		1.39		65
57	A3	0.56	Peak 183	19.3483	0			1160.700, 115	1161.200, 115	S(1)		0.11		5
58	A3	0.74	Peak 184	19.3567	0			1161.200, 115	1162.000, 115	S(1)		0.11		5
59	A3	1.86	Peak 185	19.4417	0			1165.300, 115	1168.100, 115	S(1)		0.15		7
60	A3	1.61	Peak 186	19.6233	0			1176.500, 115	1178.200, 115	S(1)		0.13		6
61	A3	473.02	Compound H	20.0633	0			1201.800, 115	1213.200, 115	S(1)		22.31		1048
62	A3	8.63	Peak 192	20.2017	0			1211.800, 115	1213.200, 115	S(1)		0.64		30
63	A3	4.55	peak 	20.2283	0			1213.200, 115	1214.100, 115	S(1)		0.47		22
64	A3	3.49	peak 	20.275	0			1215.200, 115	1218.800, 115	S(1)		0.25		12
65	A3	3.49	peak 	20.275	0			1215.200, 115	1218.800, 115	S(1)		0.25		12
66	A3	3	Peak 195	20.56	0			1231.900, 115	1234.800, 115	S(1)		0.18		8
67	A3	2.55	Peak 196	20.7283	0			1241.000, 115	1244.000, 115	S(1)		0.17		8
68	A3	37.64	Compound I	20.7667	0			1244.000, 115	1248.000, 115	S(1)		1.72		81
69	A3	25.22	Peak	20.81	0			1248.000, 115	1253.800, 115	S(1)		0.74		35
70	A3	1.1	Peak 199	20.9017	0			1253.800, 115	1254.500, 115	S(1)		0.15		7
71	A3	5.02	Peak 200	20.9667	0			1256.000, 115	1258.100, 115	S(1)		0.47		22
72	A3	9.07	Peak 201	20.975	0			1256.000, 115	1258.900, 115	S(1)		0.53		25
73	A3	50.69	Compound J	21.0217	0			1259.800, 115	1265.300, 115	S(1)		2.71		127
74	A3	683.55	Compound K	21.2067	0			1269.200, 115	1279.300, 115	S(1)		45.98		2160
75	A3	6.37	Peak 285	21.3483	0			1279.300, 115	1281.900, 115	S(1)		0.29		14
76	A3	6.37	Peak 285	21.3483	0			1279.300, 115	1281.900, 115	S(1)		0.29		14
77	A3	11.54	Peak 205	21.3867	0			1281.900, 115	1285.600, 115	S(1)		0.64		30
78	A3	4.07	Peak 287	21.5617	0			1291.300, 115	1294.900, 115	S(1)		0.22		10
79	A3	304.76	Compound L	21.6683	0			1296.800, 115	1301.400, 115	S(1)		20.17		948
80	A3	1261.58	Compound L	21.7167	0			1301.400, 115	1305.200, 115	S(1)		77.18		3625
81	A3	221.53	Compound L	21.7617	0			1305.200, 115	1310.600, 115	S(1)		8.23		387
82	A3	17.2	Peak 293	21.895	0			1312.700, 115	1314.600, 115	S(1)		0.95		45
83	A3	17.2	Peak 293	21.895	0			1312.700, 115	1314.600, 115	S(1)		0.95		45
84	A3	270.23	Peak	21.9417	0			1314.600, 115	1324.900, 115	S(1)		12.58		591
85	A3	4.33	peak 	22.1017	0			1324.900, 115	1329.500, 115	S(1)		0.24		11
86	A3	4.32	Peak 304	22.3117	0			1337.200, 115	1341.900, 115	S(1)		0.23		11
87	A3	299.55	Compound M	22.7033	0			1356.500, 115	1363.100, 115	S(1)		18.52		870
88	A3	2820.67	Compound M	22.7483	0			1363.100, 115	1367.100, 115	S(1)		186.86		8778
89	A3	248.15	Compound M	22.8017	0			1367.100, 115	1373.100, 115	S(1)		8.44		397
90	A3	17.81	peak 	22.8917	0			1373.100, 115	1374.100, 115	S(1)		1.67		78
91	A3	228.36	Compound N	22.9583	0			1375.000, 117	1380.400, 116	S(1)		14.55		683
92	A3	25.99	Compound N	23.03	0			1380.400, 116	1384.200, 116	S(1)		1.7		80
93	A3	6.97	Peak 318	23.14	0			1386.900, 116	1391.600, 116	S(1)		0.34		16
94	A3	6.97	Peak 318	23.14	0			1386.900, 116	1391.600, 116	S(1)		0.34		16
95	A3	3.36	Peak 320	23.2183	0			1391.700, 116	1394.300, 116	S(1)		0.23		11
96	A3	3.36	Peak 320	23.2183	0			1391.700, 116	1394.300, 116	S(1)		0.23		11
97	A3	0.78	Peak 222	23.4017	0			1403.800, 115	1404.400, 115	S(1)		0.12		6
98	A3	7.7	peak 	23.4317	0			1404.400, 115	1406.800, 115	S(1)		0.45		21
99	A3	26.58	Peak	23.4667	0			1406.800, 115	1412.100, 115	S(1)		1.04		49
